datetime,temp_c,feels_like_c,humidity,pressure,wind_speed_kmh,weather,rain_mm
2025-05-05 12:00:00,15.43,14.13,42,1004,20.3,пасмурно,0.0
2025-05-05 15:00:00,12.91,11.48,47,1004,13.6,пасмурно,0.0
2025-05-05 18:00:00,8.78,6.14,75,1006,17.4,небольшой дождь,0.45
2025-05-05 21:00:00,3.8,-1.17,75,1009,26.5,небольшой дождь,0.1
2025-05-06 00:00:00,2.82,-1.69,75,1011,20.2,облачно с прояснениями,0.0
2025-05-06 03:00:00,2.25,-1.97,72,1013,17.1,ясно,0.0
2025-05-06 06:00:00,5.98,3.01,50,1014,14.8,ясно,0.0
2025-05-06 09:00:00,10.01,8.01,36,1014,13.2,небольшая облачность,0.0
2025-05-06 12:00:00,12.05,10.15,32,1013,15.4,облачно с прояснениями,0.0
2025-05-06 15:00:00,11.6,9.76,36,1013,15.5,пасмурно,0.0
2025-05-06 18:00:00,9.24,8.76,45,1014,5.5,пасмурно,0.0
2025-05-06 21:00:00,7.54,6.14,55,1013,8.0,пасмурно,0.0
2025-05-07 00:00:00,6.41,4.66,62,1013,8.6,пасмурно,0.0
2025-05-07 03:00:00,6.52,4.43,66,1013,10.3,пасмурно,0.0
2025-05-07 06:00:00,9.8,8.82,54,1012,7.8,пасмурно,0.0
2025-05-07 09:00:00,12.17,10.64,46,1011,15.0,небольшой дождь,0.48
2025-05-07 12:00:00,12.27,10.88,51,1011,16.1,небольшой дождь,1.15
2025-05-07 15:00:00,11.22,9.76,52,1011,11.9,небольшой дождь,0.59
2025-05-07 18:00:00,8.8,7.1,63,1012,10.6,пасмурно,0.0
2025-05-07 21:00:00,6.42,3.81,72,1013,13.1,пасмурно,0.0
2025-05-08 00:00:00,4.76,1.86,83,1013,12.6,небольшой дождь,0.13
2025-05-08 03:00:00,4.43,1.85,89,1013,10.7,небольшой дождь,1.6
2025-05-08 06:00:00,6.55,4.1,60,1013,12.3,небольшой дождь,0.14
2025-05-08 09:00:00,9.99,8.47,38,1013,11.0,переменная облачность,0.0
2025-05-08 12:00:00,10.76,8.81,35,1012,14.5,облачно с прояснениями,0.0
2025-05-08 15:00:00,9.73,7.05,40,1013,20.0,пасмурно,0.0
2025-05-08 18:00:00,6.81,4.1,54,1014,14.3,облачно с прояснениями,0.0
2025-05-08 21:00:00,4.77,2.24,68,1015,10.8,ясно,0.0
2025-05-09 00:00:00,3.52,1.28,74,1015,8.5,ясно,0.0
2025-05-09 03:00:00,3.51,0.99,74,1016,9.6,ясно,0.0
2025-05-09 06:00:00,7.14,5.0,58,1017,11.2,ясно,0.0
2025-05-09 09:00:00,9.92,8.39,41,1017,11.0,пасмурно,0.0
2025-05-09 12:00:00,11.15,9.31,38,1017,9.0,пасмурно,0.0
2025-05-09 15:00:00,10.29,8.58,46,1017,8.5,небольшой дождь,0.43
2025-05-09 18:00:00,8.19,8.19,63,1018,3.7,небольшой дождь,0.56
2025-05-09 21:00:00,6.32,6.32,71,1019,3.7,ясно,0.0
2025-05-10 00:00:00,4.9,4.02,76,1019,4.9,ясно,0.0
2025-05-10 03:00:00,5.16,5.16,74,1019,3.6,ясно,0.0
2025-05-10 06:00:00,9.1,8.33,56,1019,6.4,переменная облачность,0.0
2025-05-10 09:00:00,11.61,9.9,41,1018,9.7,облачно с прояснениями,0.0
