datetime,temp_c,feels_like_c,humidity,pressure,wind_speed_kmh,weather,rain_mm
2025-05-05 12:00:00,23.98,23.16,28,1011,23.3,ясно,0.0
2025-05-05 15:00:00,22.1,21.23,33,1010,11.3,небольшая облачность,0.0
2025-05-05 18:00:00,18.86,18.21,54,1010,10.8,облачно с прояснениями,0.0
2025-05-05 21:00:00,19.24,18.63,54,1010,10.0,пасмурно,0.0
2025-05-06 00:00:00,13.87,12.83,58,1010,8.7,облачно с прояснениями,0.0
2025-05-06 03:00:00,14.79,13.66,51,1009,11.5,ясно,0.0
2025-05-06 06:00:00,20.23,19.3,38,1009,17.4,ясно,0.0
2025-05-06 09:00:00,20.03,19.47,53,1009,16.2,небольшой дождь,0.14
2025-05-06 12:00:00,18.37,17.62,52,1010,16.7,небольшой дождь,0.37
2025-05-06 15:00:00,16.28,15.35,53,1011,14.5,ясно,0.0
2025-05-06 18:00:00,12.2,10.73,48,1013,13.7,ясно,0.0
2025-05-06 21:00:00,9.91,8.16,61,1014,12.4,ясно,0.0
2025-05-07 00:00:00,7.91,5.84,72,1015,11.7,ясно,0.0
2025-05-07 03:00:00,8.96,6.86,66,1014,13.4,ясно,0.0
2025-05-07 06:00:00,13.21,11.87,49,1014,10.8,ясно,0.0
2025-05-07 09:00:00,16.79,15.44,35,1012,8.7,небольшая облачность,0.0
2025-05-07 12:00:00,16.06,14.69,37,1011,10.8,облачно с прояснениями,0.0
2025-05-07 15:00:00,15.69,14.39,41,1010,9.1,переменная облачность,0.0
2025-05-07 18:00:00,13.07,11.66,47,1010,10.4,облачно с прояснениями,0.0
2025-05-07 21:00:00,12.2,10.83,52,1009,10.8,пасмурно,0.0
2025-05-08 00:00:00,11.39,10.13,59,1008,10.2,пасмурно,0.0
2025-05-08 03:00:00,11.36,10.2,63,1009,7.0,пасмурно,0.0
2025-05-08 06:00:00,11.81,10.72,64,1009,6.9,пасмурно,0.0
2025-05-08 09:00:00,11.55,10.54,68,1009,9.9,небольшой дождь,0.25
2025-05-08 12:00:00,12.66,11.52,59,1009,8.5,пасмурно,0.0
2025-05-08 15:00:00,12.14,11.05,63,1008,11.2,пасмурно,0.0
2025-05-08 18:00:00,10.62,9.72,76,1007,12.3,небольшой дождь,0.56
2025-05-08 21:00:00,10.38,9.67,84,1007,11.3,небольшой дождь,0.25
2025-05-09 00:00:00,9.72,8.82,90,1007,7.4,пасмурно,0.0
2025-05-09 03:00:00,10.2,9.55,87,1008,7.5,пасмурно,0.0
2025-05-09 06:00:00,12.41,11.64,74,1010,12.1,пасмурно,0.0
2025-05-09 09:00:00,14.64,13.75,61,1011,14.0,пасмурно,0.0
2025-05-09 12:00:00,15.07,14.07,55,1012,13.3,пасмурно,0.0
2025-05-09 15:00:00,14.54,13.51,56,1014,12.3,пасмурно,0.0
2025-05-09 18:00:00,10.94,10.0,73,1016,8.2,облачно с прояснениями,0.0
2025-05-09 21:00:00,10.1,8.97,69,1017,5.7,переменная облачность,0.0
2025-05-10 00:00:00,8.06,6.66,69,1018,8.4,облачно с прояснениями,0.0
2025-05-10 03:00:00,9.77,8.77,54,1020,7.9,облачно с прояснениями,0.0
2025-05-10 06:00:00,13.21,11.63,40,1020,9.7,пасмурно,0.0
2025-05-10 09:00:00,16.12,14.65,33,1020,6.5,пасмурно,0.0
