datetime,temp_c,feels_like_c,humidity,pressure,wind_speed_kmh,weather,rain_mm
2025-05-05 12:00:00,4.09,-0.39,63,1003,22.8,небольшой дождь,0.11
2025-05-05 15:00:00,4.71,0.85,63,1004,19.0,пасмурно,0.0
2025-05-05 18:00:00,5.22,2.53,68,1006,12.0,пасмурно,0.0
2025-05-05 21:00:00,3.72,0.21,78,1006,14.8,пасмурно,0.0
2025-05-06 00:00:00,5.38,1.54,77,1006,20.2,пасмурно,0.0
2025-05-06 03:00:00,2.45,-1.27,87,1007,14.4,пасмурно,0.0
2025-05-06 06:00:00,4.18,0.79,72,1007,14.8,пасмурно,0.0
2025-05-06 09:00:00,3.22,1.04,97,1007,8.1,снег,0.0
2025-05-06 12:00:00,4.1,1.57,96,1007,10.1,небольшой дождь,1.01
2025-05-06 15:00:00,5.2,2.9,85,1007,10.0,небольшой дождь,0.2
2025-05-06 18:00:00,2.83,-0.32,97,1009,11.8,небольшой дождь,0.28
2025-05-06 21:00:00,1.98,-0.72,94,1011,9.1,небольшой дождь,0.11
2025-05-07 00:00:00,0.91,-2.42,93,1012,10.8,пасмурно,0.0
2025-05-07 03:00:00,0.33,-3.55,95,1012,12.8,небольшой снег,0.0
2025-05-07 06:00:00,1.02,-3.08,99,1013,14.7,снег,0.0
2025-05-07 09:00:00,4.46,0.73,73,1014,17.5,небольшой снег,0.0
2025-05-07 12:00:00,6.02,2.97,61,1015,15.3,пасмурно,0.0
2025-05-07 15:00:00,5.98,3.35,67,1016,12.6,небольшой дождь,0.3
2025-05-07 18:00:00,1.72,-0.73,87,1017,8.1,небольшой снег,0.0
2025-05-07 21:00:00,-0.14,-3.18,90,1017,9.0,переменная облачность,0.0
2025-05-08 00:00:00,-0.88,-3.98,94,1017,8.7,переменная облачность,0.0
2025-05-08 03:00:00,0.78,-1.79,90,1018,8.0,пасмурно,0.0
2025-05-08 06:00:00,4.92,2.7,71,1018,9.5,пасмурно,0.0
2025-05-08 09:00:00,6.3,3.98,63,1018,11.3,небольшой дождь,0.52
2025-05-08 12:00:00,7.21,5.15,60,1018,10.9,небольшой дождь,0.93
2025-05-08 15:00:00,6.01,3.33,74,1018,13.0,небольшой дождь,0.6
2025-05-08 18:00:00,3.69,1.31,89,1018,9.1,небольшой дождь,0.57
2025-05-08 21:00:00,2.67,1.14,92,1018,5.8,пасмурно,0.0
2025-05-09 00:00:00,2.02,-0.09,93,1018,7.2,пасмурно,0.0
2025-05-09 03:00:00,2.48,0.68,94,1019,6.4,пасмурно,0.0
2025-05-09 06:00:00,4.17,2.66,87,1020,6.4,пасмурно,0.0
2025-05-09 09:00:00,7.52,7.52,65,1020,4.2,небольшой дождь,0.52
2025-05-09 12:00:00,8.61,7.07,57,1020,9.5,небольшой дождь,0.91
2025-05-09 15:00:00,8.42,6.8,55,1020,9.8,небольшой дождь,0.37
2025-05-09 18:00:00,3.83,2.67,73,1021,5.3,облачно с прояснениями,0.0
2025-05-09 21:00:00,1.75,1.75,75,1022,1.2,ясно,0.0
2025-05-10 00:00:00,0.98,0.98,79,1022,4.2,небольшая облачность,0.0
2025-05-10 03:00:00,2.44,1.03,82,1022,5.4,облачно с прояснениями,0.0
2025-05-10 06:00:00,5.3,3.11,78,1023,9.6,небольшой дождь,0.24
2025-05-10 09:00:00,7.35,4.72,56,1023,14.6,небольшой дождь,0.72
