datetime,temp_c,feels_like_c,humidity,pressure,wind_speed_kmh,weather,rain_mm
2025-05-03 21:00:00,6.68,3.4,82,996,18.3,небольшая облачность,0.0
2025-05-04 00:00:00,5.9,2.89,83,997,14.9,небольшая облачность,0.0
2025-05-04 03:00:00,4.82,1.96,85,997,12.5,небольшая облачность,0.0
2025-05-04 06:00:00,7.87,5.34,60,998,14.7,переменная облачность,0.0
2025-05-04 09:00:00,10.47,8.72,44,999,15.4,небольшая облачность,0.0
2025-05-04 12:00:00,10.81,9.04,42,999,17.9,переменная облачность,0.0
2025-05-04 15:00:00,8.39,5.83,50,998,15.9,пасмурно,0.0
2025-05-04 18:00:00,4.53,0.94,87,999,16.6,пасмурно,0.0
2025-05-04 21:00:00,2.5,-1.22,81,1000,14.4,снег,0.0
2025-05-05 00:00:00,2.5,-1.52,68,1000,16.2,небольшой снег,0.0
2025-05-05 03:00:00,0.73,-3.86,75,1000,17.1,пасмурно,0.0
2025-05-05 06:00:00,2.32,-2.26,62,1001,19.8,пасмурно,0.0
2025-05-05 09:00:00,3.8,-0.67,57,1003,22.0,небольшой снег,0.0
2025-05-05 12:00:00,3.43,-1.03,67,1004,21.0,небольшой снег,0.0
2025-05-05 15:00:00,5.46,1.91,55,1004,18.0,небольшой дождь,0.12
2025-05-05 18:00:00,3.42,-0.17,70,1006,14.9,пасмурно,0.0
2025-05-05 21:00:00,2.8,-1.11,78,1006,16.0,пасмурно,0.0
2025-05-06 00:00:00,3.01,-1.28,82,1007,18.9,пасмурно,0.0
2025-05-06 03:00:00,2.11,-1.45,89,1008,13.1,облачно с прояснениями,0.0
2025-05-06 06:00:00,2.63,-0.7,88,1009,12.5,небольшой снег,0.0
2025-05-06 09:00:00,3.51,1.91,93,1008,6.3,снег,0.0
2025-05-06 12:00:00,3.24,0.75,96,1008,9.3,небольшой дождь,1.68
2025-05-06 15:00:00,2.49,1.07,99,1008,5.4,снег,0.0
2025-05-06 18:00:00,1.79,-0.05,100,1009,6.3,дождь,6.72
2025-05-06 21:00:00,1.31,-0.53,98,1009,6.1,небольшой дождь,0.51
2025-05-07 00:00:00,0.07,-3.22,88,1010,10.0,пасмурно,0.0
2025-05-07 03:00:00,-0.46,-3.73,86,1011,9.6,переменная облачность,0.0
2025-05-07 06:00:00,3.88,0.42,67,1012,14.8,небольшая облачность,0.0
2025-05-07 09:00:00,4.91,1.45,64,1012,16.3,небольшой дождь,0.21
2025-05-07 12:00:00,5.93,2.43,62,1012,18.6,небольшой дождь,0.77
2025-05-07 15:00:00,5.14,1.69,67,1013,16.7,небольшой дождь,0.37
2025-05-07 18:00:00,2.01,-0.79,85,1013,9.6,облачно с прояснениями,0.0
2025-05-07 21:00:00,0.99,-2.28,92,1013,10.7,переменная облачность,0.0
2025-05-08 00:00:00,0.51,-3.23,96,1012,12.3,переменная облачность,0.0
2025-05-08 03:00:00,1.26,-2.18,90,1013,11.7,пасмурно,0.0
2025-05-08 06:00:00,4.28,0.92,70,1013,14.8,облачно с прояснениями,0.0
2025-05-08 09:00:00,2.9,-1.06,94,1014,16.5,небольшой снег,0.0
2025-05-08 12:00:00,2.72,-0.53,98,1014,12.2,небольшой дождь,2.6
2025-05-08 15:00:00,4.98,2.54,84,1014,10.5,небольшой дождь,1.41
2025-05-08 18:00:00,3.54,0.36,89,1014,12.7,небольшой дождь,0.15
